Family;Unique Stylename;Sample Folder;Notes
Arsilon;Arsilon Regular;Hand;
Bayshore;Bayshore Bayshore;Hand;
Belluga;Belluga;Hand;
Better Times;Better Times Regular;Hand;
Bon Vivant Family;Bon Vivant Family Script;Hand;
Born Ready;Born Ready;Hand;
Bourton;Bourton Script Light;Hand;
Chin Up Buttercup;Chin Up Buttercup;Hand;Also in Script
FF Market;FF Market Std Regular;Hand;
FF Tartine Script;FF Tartine Script Std Black;Hand;
Futura Now;Futura Now Script ExtraLight;Hand;
Gambler;Gambler Script Regular;Hand;
Hanley Pro;Hanley Pro Script Alt;Hand;Also in Script
Hello Paris;Hello Paris Script;Hand;
Intro Rust;Intro Script L Base;Hand;
Jeff Script;Jeff Script;Hand;
La Luxes;La Luxes Script;Hand;
Lumios Marker;Lumios Marker;Hand;
Madina Script;Madina Script;Hand;Also in Script
Moon Time;Moon Time Regular;Hand;
Nexa Rust;Nexa Rust Script S 4;Hand;Also in Script
Northwell;Northwell Reg;Hand;Also in Script
Palmer Lake;Palmer Lake Script;Hand;
Paper Tiger;Paper Tiger Script Regular;Hand;
PT Script Zephyr;PT Script Zephyr;Hand;
Selfie;Selfie Selfie;Hand;Also in Script
Seventies;Seventies Regular;Hand;Also in Script
Silver South;Silver South Script;Hand;Also in Script
Skate;Skate Regular;Hand;
Summer Loving;Summer Loving Regular;Hand;Also in Script
Supa Mega Fantastic;Supa Mega Fantastic Regular;Hand;
Thirsty Rough;Thirsty Rough Bold Three;Hand;Also in Script
Turbinado;Turbinado Light Pro;Hand;Also in Script
Avenir Next;Avenir Next Pro Regular;Sans;
Avenir;Avenir Std 45 Book;Sans;
Axiforma;Axiforma Book;Sans;
Brandon Grotesque;Brandon Grotesque Regular;Sans;
Brandon Text;Brandon Text Regular;Sans;
Campton;Campton Book;Sans;
Cera Pro;Cera PRO Regular;Sans;
Din Condensed;Din Condensed Variable;Sans;
DIN Next;DIN Next Pro Regular;Sans;
FF Clan;FF Clan Std Regular;Sans;
FF DIN;FF DIN Std Regular;Sans;
FF Mark;FF Mark Pro Regular;Sans;
Frutiger;Frutiger Pro 55 Roman;Sans;
Futura PT;Futura PT Medium;Sans;
Futura;Futura Pro Book;Sans;
Galano Grotesque;Galano Grotesque Regular;Sans;
Geogrotesque;Geogrotesque Regular;Sans;
Gilroy;Gilroy Regular;Sans;
Helvetica Now;Helvetica Now Text Regular;Sans;
Helvetica;Helvetica Regular;Sans;
Intro;Intro Regular;Sans;
ITC Avant Garde Gothic;ITC Avant Garde Gothic Book;Sans;
Mont;Mont Regular;Sans;
Neue Helvetica;Neue Helvetica Pro 55 Roman;Sans;
Neue Haas Grotesk;Neue Haas Grotesk Text 55 Roman;Sans;
Nexa;Nexa Regular;Sans;
Panton;Panton Narrow Regular;Sans;
Proxima Nova;Proxima Nova Regular;Sans;
Sofia Pro;Sofia Pro Regular;Sans;
Steradian;Steradian Regular;Sans;
Sucrose;Sucrose Bold Two;Sans;
Trade Gothic;Trade Gothic Pro Roman;Sans;
TT Commons Classic;TT Commons Classic Regular;Sans;Change Family name added Classic
TT Firs Neue;TT Firs Neue Regular;Sans;
TT Norms Pro;TT Norms Pro Regular;Sans;
Univers;Univers 55 Roman;Sans;
Zeit ;Zeit Regular;Sans;
Above the Beyond;Above the Beyond Script;Script;
Absolute Beauty;Absolute Beauty Script Regular;Script;
Authenia;Authenia Textured;Script;
Beloved;Beloved Script;Script;
Boston Skyline;Boston Skyline Rough;Script;
Chin Up Buttercup;Chin Up Buttercup;Script;Also in Hand
Delivery Note;Delivery Note Regular;Script;
Double Porter;Double Porter 1;Script;
Fabiola;Fabiola Script;Script;
Fineday;Fineday Style One;Script;
Garden Grown;Garden Grown;Script;
Gelato Fresco;Gelato Fresco Regular;Script;
Handelson;Handelson One;Script;
Hanley Pro;Hanley Pro Script Alt;Script;Also in Hand
Harman;Harman Script;Script;
Just Lovely;Just Lovely;Script;
Limon;Limon Script Regular;Script;Also in Serif
Local Brewery;Local Brewery;Script;
Madina Script;Madina Script;Script;Also in Hand
Magnite;Magnite Regular;Script;
Meritocracy;Meritocracy Regular;Script;
Nexa Rust;Nexa Rust Script S 4;Script;Also in Hand
Northwell;Northwell Reg;Script;Also in Hand
Organika;Organika Script;Script;
Rollerscript;Rollerscript Smooth;Script;
Sassafrassy;Sassafrassy Simple;Script;Problems with family name cant find
Saturday Script;Saturday Script;Script;
Selfie;Selfie Selfie;Script;
Seventies;Seventies Regular;Script;
Silver South;Silver South Script;Script;Also in Serif
Summer Loving;Summer Loving Regular;Script;Also in Hand
Thirsty Rough;Thirsty Rough Bold Three;Script;Also in Hand
Turbinado;Turbinado Light Pro;Script;Also in Hand
Viva Beautiful;Viva Beautiful;Script;
White Oleander;White Oleander;Script;
Aire;Aire Roman Std;Serif;
Albra;Albra Text Semi;Serif;
Anko;Anko Regular;Serif;
Baltica;Baltica Regular;Serif;
Bauer Bodoni;Bauer Bodoni D Regular;Serif;
Begum;Begum;Serif;
Blacker Pro;Blacker Pro Display Medium;Serif;
Bodoni;Bodoni Std Book;Serif;Problems not unique stylename
Capitolium 2;Capitolium 2 Regular;Serif;
Cardillac;Cardillac;Serif;
Corporate A;Corporate A Regular;Serif;"Change in family name deleted ""Pro"""
Desire;Desire Basic;Serif;
Dress;Dress Base;Serif;
Editor;Editor Bold;Serif;
Freight Display Pro;Freight Display Pro Semibold;Serif;
Hermann;Hermann Semi Bold;Serif;
ITC Charter;ITC Charter Pro Regular;Serif;
ITC Cheltenham;ITC Cheltenham Pro Condensed Bold Italic;Serif;
Jazmín;Jazmín Alt Thin;Serif;Special character over i
Lawrence;Lawrence Bold;Serif;
Limon;Limon Script Regular;Serif;Also in script
Linotype Didot;Linotype Didot Pro Roman;Serif;
Minion;Minion Bold;Serif;"Change family name deleted ""Pro"""
Morison;Morison Regular;Serif;
Mrs Eaves;Mrs Eaves Roman;Serif;
Quiche Flare;Quiche Flare Medium;Serif;
Radiata;Radiata Regular;Serif;
Recoleta;Recoleta Regular;Serif;
Rossanova;Rossanova Thin;Serif;
Sabon;Sabon Roman;Serif;
Silk Serif;Silk Serif Regular;Serif;
Silver South;Silver South Script;Serif;Also in hand and script
TT Jenevers;TT Jenevers Regular;Serif;
Velour;Velour Regular;Serif;
Zeit;Zeit Regular;Serif;
Aptifer Slab;Aptifer Slab Pro Regular;Slab;
Artegra Slab;Artegra Slab Regular;Slab;
Bogue Slab;Bogue Slab Regular;Slab;
Breton;Breton Bold;Slab;
Calvert;Calvert Pro Regular;Slab;
Circuit;Circuit;Slab;PROBLEMS with unique style name
Clarendon;Clarendon BT Std Light;Slab;
Courier New;Courier New OS Regular;Slab;
DIN Next Slab;DIN Next Slab;Slab;"Change Family name ""R"" to ""Slab"""
Egyptian Slate;Egyptian Slate Pro Regular;Slab;
FF Ernestine;FF Ernestine Pro Regular;Slab;
Foro Rounded;Foro Rounded Regular;Slab;
Glypha;Glypha Pro 55 Roman;Slab;
Henderson Slab;Henderson Slab Regular;Slab;
ITC American Typewriter;ITC American Typewriter Std Medium;Slab;
Klose Slab;Klose Slab Regular;Slab;
Leto Two;Leto Two;Slab;
LTC Squareface;LTC Squareface Regular;Slab;
Mortise;Mortise X-Bold;Slab;
Museo Slab;Museo Slab 500;Slab;
Museo;Museo 500;Slab;
Newslab;Newslab Thin;Slab;
Nexa Slab;Nexa Slab Regular;Slab;
PMN Caecilia;PMN Caecilia Pro 55 Roman;Slab;
Rockwell;Rockwell Std Roman;Slab;
Sagona;Sagona Book;Slab;
Sketch Block;Sketch Block Bold;Slab;
Smart Chameleon;Smart Chameleon Regular;Slab;
Suomi Slab Serif;Suomi Slab Serif Book;Slab;
Technotyp;Technotyp Regular;Slab;
Clarendon;Clarendon BT Std Roman;Slab;
Vista Slab;Vista Slab Regular;Slab;
Yearbook;Yearbook Outline;Slab;
